TIME,SEGMENT_ID,SPEED,STREET,DIRECTION,FROM,TO,LENGTH,HEADING,COMMENTS,BUSCOUNT,MESSAGECOUNT,HOUR,DAYOFWEEK,MONTH,RECORDID,LATITUDE,LONGITUDE,ENDLATITUDE,ENDLONGITUDE,STARTLOCATION,ENDLOCATION,Wards
3/21/2018 16:20,219,18,Roosevelt,EB,Central Park,Kedzie,0.5,W,,2,14,16,4,3,0219-201803212120,41.8661526,-87.71542211,41.8662681,-87.70567054,POINT (-87.7154221093 41.8661526026),POINT (-87.7056705433 41.8662681014),14
3/21/2018 16:20,220,18,Roosevelt,EB,Kedzie,California,0.5,W,,2,17,16,4,3,0220-201803212120,41.8662681,-87.70567054,41.86637346,-87.69590885,POINT (-87.7056705433 41.8662681014),POINT (-87.6959088534 41.8663734623),14
3/21/2018 16:20,221,25,Roosevelt,EB,California,Western,0.5,W,,2,7,16,4,3,0221-201803212120,41.86637346,-87.69590885,41.86647534,-87.6860398,POINT (-87.6959088534 41.8663734623),POINT (-87.6860397975 41.8664753382),14
3/21/2018 16:20,222,24,Roosevelt,EB,Western,Damen,0.5,W,,2,8,16,4,3,0222-201803212120,41.86647534,-87.6860398,41.86661737,-87.6762511,POINT (-87.6860397975 41.8664753382),POINT (-87.6762510995 41.8666173666),23
3/21/2018 16:20,223,16,Roosevelt,EB,Damen,Ashland,0.5,W,,2,26,16,4,3,0223-201803212120,41.86661737,-87.6762511,41.86672429,-87.66638498,POINT (-87.6762510995 41.8666173666),POINT (-87.6663849776 41.8667242852),23
3/21/2018 16:20,224,24,Roosevelt,EB,Ashland,Racine,0.5,W,,1,9,16,4,3,0224-201803212120,41.86672429,-87.66638498,41.86685941,-87.65668267,POINT (-87.6663849776 41.8667242852),POINT (-87.6566826727 41.8668594116),23
3/21/2018 16:20,225,12,Roosevelt,EB,Racine,Halsted,0.5,W,,2,21,16,4,3,0225-201803212120,41.86685941,-87.65668267,41.8670169,-87.64691982,POINT (-87.6566826727 41.8668594116),POINT (-87.6469198175 41.8670168965),26
3/21/2018 16:20,226,12,Roosevelt,EB,Halsted,Jefferson,0.25,W,,3,20,16,4,3,0226-201803212120,41.8670169,-87.64691982,41.86708246,-87.64218933,POINT (-87.6469198175 41.8670168965),POINT (-87.6421893317 41.8670824586),48
3/21/2018 16:20,227,10,Roosevelt,EB,Jefferson,Clark,0.6,W,,1,5,16,4,3,0227-201803212120,41.86708246,-87.64218933,41.86723678,-87.6304367,POINT (-87.6421893317 41.8670824586),POINT (-87.6304367047 41.8672367835),48
3/21/2018 16:20,228,16,Roosevelt,EB,Clark,Lake Shore Dr,0.6,W,,2,16,16,4,3,0228-201803212120,41.86723678,-87.6304367,41.86736565,-87.61896309,POINT (-87.6304367047 41.8672367835),POINT (-87.6189630924 41.8673656534),26
3/21/2018 16:20,229,15,Roosevelt,WB,Central,Austin,0.5,W,IDOT Signals Possible,1,1,16,4,3,0229-201803212120,41.86575596,-87.76435238,41.86561265,-87.77414765,POINT (-87.7643523849 41.8657559551),POINT (-87.7741476468 41.8656126532),7
3/21/2018 16:20,230,37,Roosevelt,WB,Laramie,Central,0.5,W,IDOT Signals Possible,2,17,16,4,3,0230-201803212120,41.86585056,-87.75455756,41.86575596,-87.76435238,POINT (-87.7545575569 41.8658505637),POINT (-87.7643523849 41.8657559551),7
3/21/2018 16:20,231,21,Roosevelt,WB,Cicero,Laramie,0.5,W,IDOT Signals Possible,2,13,16,4,3,0231-201803212120,41.86608785,-87.74476139,41.86585056,-87.75455756,POINT (-87.7447613932 41.8660878547),POINT (-87.7545575569 41.8658505637),7
3/21/2018 16:20,232,35,Roosevelt,WB,Kostner,Cicero,0.5,W,IDOT Signals Possible,1,4,16,4,3,0232-201803212120,41.8661701,-87.73496347,41.86608785,-87.74476139,POINT (-87.7349634658 41.866170101),POINT (-87.7447613932 41.8660878547),14
3/21/2018 16:20,233,23,Roosevelt,WB,Pulaski,Kostner,0.5,W,,1,7,16,4,3,0233-201803212120,41.86630934,-87.72516919,41.8661701,-87.73496347,POINT (-87.7251691897 41.8663093356),POINT (-87.7349634658 41.866170101),14
3/21/2018 16:20,234,18,Roosevelt,WB,Central Park,Pulaski,0.5,W,,2,10,16,4,3,0234-201803212120,41.86642701,-87.71541947,41.86630934,-87.72516919,POINT (-87.7154194668 41.8664270139),POINT (-87.7251691897 41.8663093356),14
3/21/2018 16:20,235,16,Roosevelt,WB,Kedzie,Central Park,0.5,W,,2,17,16,4,3,0235-201803212120,41.86654251,-87.70566786,41.86642701,-87.71541947,POINT (-87.7056678592 41.8665425122),POINT (-87.7154194668 41.8664270139),14
3/21/2018 16:20,236,12,Roosevelt,WB,California,Kedzie,0.5,W,,2,17,16,4,3,0236-201803212120,41.86664787,-87.69590613,41.86654251,-87.70566786,POINT (-87.6959061275 41.8666478725),POINT (-87.7056678592 41.8665425122),23
3/21/2018 16:20,237,11,Roosevelt,WB,Western,California,0.5,W,,1,3,16,4,3,0237-201803212120,41.86674975,-87.68603703,41.86664787,-87.69590613,POINT (-87.6860370294 41.8667497479),POINT (-87.6959061275 41.8666478725),23
